brand,model,year,mileage,engine,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,min_mpg,max_mpg,damaged,first_owner,personal_using,turbo,alloy_wheels,adaptive_cruise_control,navigation_system,power_liftgate,backup_camera,keyless_start,remote_start,sunroof/moonroof,automatic_emergency_braking,stability_control,leather_seats,memory_seat,third_row_seating,apple_car_play/android_auto,bluetooth,usb_port,heated_seats,interior_color,exterior_color,price,drive_train_dummies,performance engine,fuel_type_dummies,efficiency
Chevrolet,Camaro 2LS,2015.0,26696.0,3.6L V6 24V GDI DOHC,3.6,6-Speed Automatic,1.0,Gasoline,Rear-wheel Drive,19.0,30.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Black,Red Rock Metallic,19500.0,3,1,1.0,1.0
Mitsubishi,Outlander PHEV LE,2021.0,11581.0,2.4L I4 16V MPFI DOHC Hybrid,2.4,1-Speed Automatic,1.0,Hybrid,Four-wheel Drive,23.0,29.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,Black,Ruby Black Pearl,27990.0,1,0,2.0,1.0
Lexus,ES 300h Base,2020.0,34586.0,"2.5L I-4 port/direct injection, DOHC, variable valve control, en",2.5,Automatic,1.0,Gasoline,Front-wheel Drive,21.0,26.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Chateau w/Linear Dark Mocha Wood,Caviar,37800.0,3,0,1.0,1.0
Nissan,Versa 1.6 S+,2016.0,78873.0,1.6L I4 16V MPFI DOHC,1.6,Automatic CVT,1.0,Gasoline,Front-wheel Drive,14.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Charcoal,Graphite Blue,11995.0,3,0,1.0,0.0
BMW,330 i,2021.0,35843.0,"2L I-4 gasoline direct injection, DOHC, Double VANOS variable va",2.0,8-Speed Automatic Sport,1.0,Gasoline,Rear-wheel Drive,26.0,36.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,Black,Jet Black,29066.0,3,0,1.0,1.0
Toyota,Camry SE,2015.0,117347.0,2.5L I4 16V MPFI DOHC,2.5,6-Speed Automatic,1.0,Gasoline,Front-wheel Drive,25.0,35.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Black,Attitude Black,13801.0,3,0,1.0,1.0
FIAT,500X Pop,2017.0,55268.0,2.4L I4 16V MPFI SOHC,2.4,9-Speed Automatic,1.0,Gasoline,Four-wheel Drive,21.0,29.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Black,Blue Sky Metallic,16402.0,1,0,1.0,1.0
MINI,Clubman Cooper S,2016.0,96832.0,2.0L I4 16V GDI DOHC Turbo,2.0,6-Speed Manual,0.0,Gasoline,Front-wheel Drive,23.0,32.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,Black Pearl,British Racing Green Metallic,14195.0,3,0,1.0,1.0
Mercedes-Benz,AMG SLC 43 Base,2018.0,40223.0,3.0L V6 24V GDI DOHC Twin Turbo,3.0,9-Speed Automatic,1.0,Gasoline,Rear-wheel Drive,19.0,26.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,Bengal Red,Iridium Silver Metallic,40000.0,3,1,1.0,1.0
Kia,Sorento EX,2016.0,80359.0,2.0L I4 16V GDI DOHC Turbo,2.0,6-Speed Automatic,1.0,Gasoline,Front-wheel Drive,35.0,39.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,Satin Black,Titanium Silver,17880.0,3,0,1.0,1.0
Lexus,RX 350 Base,2021.0,63622.0,3.5L V6 24V PDI DOHC,3.5,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,15.0,19.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Black,White,38996.0,1,1,1.0,0.0
Mitsubishi,Outlander SEL,2019.0,94565.0,2.4L I4 16V MPFI SOHC,2.4,Automatic CVT,1.0,Gasoline,Four-wheel Drive,25.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,Black,Labrador Black Metallic,17995.0,1,0,1.0,1.0
Jeep,Grand Cherokee Limited,2018.0,64361.0,3.6L V6 24V MPFI DOHC,3.6,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,22.0,27.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Black,Bright White Clearcoat,24998.0,1,1,1.0,1.0
Hyundai,Elantra SE,2017.0,63231.0,2.0L I4 16V GDI DOHC,2.0,6-Speed Automatic,1.0,Gasoline,Front-wheel Drive,18.0,25.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Beige,Phantom Black,15900.0,3,0,1.0,1.0
Volvo,XC40 T4 Momentum,2020.0,53277.0,2.0L I4 16V GDI DOHC Turbo,2.0,8-Speed Automatic,1.0,Gasoline,Front-wheel Drive,22.0,30.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,Charcoal,Glacier Silver Metallic,27999.0,3,0,1.0,1.0
Volvo,S60 T6 R-Design,2019.0,31267.0,2.0L I4 16V GDI DOHC,2.0,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,22.0,29.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,Charcoal,Black Stone,29499.0,1,0,1.0,1.0
Ford,F-150 Platinum,2013.0,169765.0,"EcoBoost 3.5L V-6 gasoline direct injection, DOHC, variable valv",3.5,Automatic,1.0,Gasoline,Rear-wheel Drive,15.0,23.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,Black Leather Trimmed,Tuxedo Black Metallic,14999.0,3,1,1.0,0.0
Mitsubishi,Outlander Sport SE 2.4,2018.0,80023.0,2.4L I4 16V MPFI DOHC,2.4,Automatic CVT,1.0,Gasoline,Four-wheel Drive,24.0,30.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,Black,Alloy Silver Metallic,16997.0,1,0,1.0,1.0
Mitsubishi,Outlander Sport 2.0 SE,2021.0,44552.0,2.0L I4 16V MPFI DOHC,2.0,Automatic CVT,1.0,Gasoline,Front-wheel Drive,25.0,28.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,Gray,Gray,21977.0,3,0,1.0,1.0
Hyundai,IONIQ Hybrid Blue,2020.0,8402.0,1.6L I4 16V GDI DOHC Hybrid,1.6,6-Speed Automatic with Auto-Shift,1.0,Hybrid,Front-wheel Drive,22.0,28.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,Black,Stellar Silver,23900.0,3,0,2.0,1.0
Jaguar,F-PACE 35t Prestige,2017.0,49704.0,3.0L V6 24V GDI DOHC Supercharged,3.0,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,15.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Black,Ammonite,26990.0,1,1,1.0,0.0
Mitsubishi,Outlander Sport SE,2018.0,107185.0,2.4L I4 16V MPFI DOHC,2.4,Automatic CVT,1.0,Gasoline,Front-wheel Drive,17.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Black,Mercury Gray Metallic,12975.0,3,0,1.0,0.0
BMW,330 i xDrive,2021.0,33416.0,"2L I-4 gasoline direct injection, DOHC, Double VANOS variable va",2.0,Automatic,1.0,Gasoline,Four-wheel Drive,25.0,34.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,Canberra Beige,Alpine White,34950.0,1,0,1.0,1.0
Nissan,Armada SL,2021.0,56543.0,5.6L V8 32V GDI DOHC,5.6,7-Speed Automatic,1.0,Gasoline,Rear-wheel Drive,20.0,28.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,Almond,Super Black,38400.0,3,1,1.0,1.0
Cadillac,Escalade ESV Platinum,2017.0,75996.0,6.2L V8 16V GDI OHV,6.2,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,17.0,24.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,Tuscan Brown,Crystal White Tri-Coat,45900.0,1,1,1.0,1.0
Mercedes-Benz,GLE 350 Base 4MATIC,2020.0,27874.0,2.0L I4 16V GDI DOHC Turbo,2.0,9-Speed Automatic,1.0,Gasoline,Four-wheel Drive,16.0,22.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,Black,Obsidian Black Metallic,44999.0,1,0,1.0,0.0
Porsche,Cayman GTS,2016.0,29479.0,3.4L H6 24V GDI DOHC,3.4,Manual,0.0,Gasoline,Rear-wheel Drive,21.0,28.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Black,Agate Gray Metallic,73995.0,3,1,1.0,1.0
BMW,530 i xDrive,2021.0,31812.0,2.0L I4 16V GDI DOHC Turbo,2.0,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,23.0,32.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,Cognac,Carbon Black Metallic,41250.0,1,0,1.0,1.0
Volvo,XC60 T5 Inscription,2018.0,28815.0,2.0L I4 16V GDI DOHC Turbo,2.0,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,18.0,24.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Charcoal,Onyx Black Metallic,32800.0,1,0,1.0,1.0
Ford,F-150 XLT,2014.0,110550.0,3.5L V6 24V GDI DOHC Twin Turbo,3.5,6-Speed Automatic,1.0,Gasoline,Four-wheel Drive,14.0,19.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Steel Gray,Oxford White,19700.0,1,1,1.0,0.0
Jeep,Renegade Sport,2020.0,27276.0,2.4L I4 16V MPFI SOHC,2.4,9-Speed Automatic,1.0,Gasoline,Front-wheel Drive,18.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Black,Black Clearcoat,18999.0,3,0,1.0,1.0
Ford,C-Max Hybrid Titanium,2017.0,41304.0,2.0L I4 16V MPFI DOHC Hybrid,2.0,Automatic CVT,1.0,Hybrid,Front-wheel Drive,38.0,42.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,Medium Light Stone,Oxford White,18822.0,3,0,2.0,1.0
Jeep,Wrangler Unlimited Rubicon,2021.0,15641.0,2.0L I4 16V GDI DOHC Turbo,2.0,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,14.0,22.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,Black,Black Clearcoat,47550.0,1,0,1.0,0.0
Jeep,Grand Wagoneer Series III,2022.0,23553.0,6.4L V8 16V MPFI OHV,6.4,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,16.0,23.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,Global Black,Bright White Clearcoat,88500.0,1,1,1.0,0.0
Audi,RS 3 2.5T,2019.0,19875.0,2.5L I5 20V PDI DOHC Turbo,2.5,7-Speed Automatic with Auto-Shift,1.0,Gasoline,Four-wheel Drive,19.0,28.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,Black / Gray,Ara Blue Crystal Effect,53977.0,1,0,1.0,1.0
Nissan,Altima 2.5 SL,2021.0,64382.0,2.5L,2.5,Automatic CVT,1.0,Gasoline,Four-wheel Drive,20.0,30.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Black,Gun Metallic,24495.0,1,0,1.0,1.0
Maserati,Levante S,2019.0,41195.0,3.0L V6 24V GDI DOHC Twin Turbo,3.0,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,16.0,24.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Black,Black,43995.0,1,1,1.0,0.0
Land,Rover Range Rover Velar P380 HSE R-Dynamic,2018.0,47188.0,3.0L V6 24V GDI DOHC Supercharged,3.0,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,17.0,23.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,Vintage Tan / Ebony / Ebony Windsor,Santorini Black,47999.0,1,1,1.0,0.0
Mazda,CX-5 Grand Touring,2014.0,61981.0,2.5L I4 16V GDI DOHC,2.5,6-Speed Automatic,1.0,Gasoline,Front-wheel Drive,18.0,25.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,Black,Sky Blue Mica,14990.0,3,0,1.0,1.0
Jaguar,F-PACE 35t R-Sport,2017.0,84726.0,3.0L V6 24V GDI DOHC Supercharged,3.0,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,18.0,28.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,Jet,Polaris White,28990.0,1,1,1.0,1.0
Porsche,911 Carrera S Cabriolet,2009.0,38082.0,3.8L H6 24V GDI DOHC,3.8,7-Speed Automatic with Auto-Shift,1.0,Gasoline,Rear-wheel Drive,20.0,25.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,Black,63900.0,3,1,1.0,1.0
Volvo,XC40 T5 Momentum,2020.0,12270.0,2.0L I4 16V GDI DOHC Turbo,2.0,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,20.0,28.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,Charcoal,Glacier Silver Metallic,35900.0,1,0,1.0,1.0
Ford,Ranger XLT,2011.0,76134.0,4.0L V6 12V MPFI SOHC,4.0,5-Speed,0.0,Gasoline,Four-wheel Drive,15.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium Dark Flint,Oxford White,16500.0,1,1,1.0,0.0
Chevrolet,Suburban 1500 LT,2010.0,224971.0,5.3L V8 16V MPFI OHV Flexible Fuel,5.3,6-Speed Automatic,1.0,E85 Flex Fuel,Four-wheel Drive,15.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,Light Titanium / Dark Titanium,Taupe Gray Metallic,11500.0,1,1,3.0,0.0
Maserati,GranTurismo MC,2017.0,43508.0,4.7L V8 32V MPFI DOHC,4.7,6-Speed Automatic,1.0,Gasoline,Rear-wheel Drive,13.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,Nero,Grigio Granito Metallic,52463.0,3,1,1.0,0.0
Hyundai,Palisade Limited,2020.0,69677.0,3.8L V6 24V GDI DOHC,3.8,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,23.0,33.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,Black,Hyper White,33995.0,1,1,1.0,1.0
FIAT,500 Sport,2015.0,50780.0,1.4L I4 16V MPFI SOHC,1.4,6-Speed Automatic,1.0,Gasoline,Front-wheel Drive,31.0,40.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Nero,Rosso,9998.0,3,0,1.0,1.0
Mercedes-Benz,C-Class C 300,2018.0,53986.0,2.0L I4 16V GDI DOHC Turbo,2.0,9-Speed Automatic,1.0,Gasoline,Rear-wheel Drive,19.0,26.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,Silk Beige / Black,Black,25999.0,3,0,1.0,1.0
Cadillac,DeVille Base,2005.0,99598.0,"Northstar 4.6L V-8 DOHC, engine with 275HP",4.6,Automatic,1.0,Gasoline,Front-wheel Drive,19.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Shale,Light Platinum,6995.0,3,1,1.0,1.0
Mitsubishi,Outlander Sport ES,2021.0,46720.0,2.0L I4 16V MPFI DOHC,2.0,Automatic CVT,1.0,Gasoline,Four-wheel Drive,25.0,30.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Black,Labrador Black Metallic,19439.0,1,0,1.0,1.0
Land,Rover Range Rover Evoque Dynamic,2014.0,76735.0,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,2.0,Automatic,1.0,Gasoline,Four-wheel Drive,16.0,21.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ebony/Ebony,Zanzibar Metallic,22995.0,1,0,1.0,0.0
Mazda,Mazda6 Touring,2017.0,31320.0,2.5L I4 16V GDI DOHC,2.5,6-Speed Automatic,1.0,Gasoline,Front-wheel Drive,20.0,27.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,Black,Machine Gray Metallic,19824.0,3,0,1.0,1.0
Jeep,Wrangler Unlimited Sahara,2015.0,78982.0,"3.6L V-6 DOHC, variable valve control, engine with 285HP",3.6,Automatic,1.0,Gasoline,Four-wheel Drive,22.0,30.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Black,Black Clearcoat,27999.0,1,1,1.0,1.0
Honda,CR-V Hybrid EX,2021.0,12385.0,2.0L I4 16V MPFI DOHC Hybrid,2.0,Automatic CVT,1.0,Hybrid,Four-wheel Drive,35.0,40.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,Gray,Obsidian Blue Pearl,33400.0,1,0,2.0,1.0
Kia,Optima SX Turbo,2017.0,59203.0,2.0L I4 16V GDI DOHC Turbo,2.0,6-Speed Automatic,1.0,Gasoline,Front-wheel Drive,21.0,29.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,Black,Ebony Black,19216.0,3,0,1.0,1.0
Land,Rover Defender 110 X-Dynamic SE,2022.0,6627.0,3.0L I6 24V GDI DOHC Turbo,3.0,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,20.0,27.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,Ebony,Santorini Black,84173.0,1,1,1.0,1.0
Honda,Civic Sport,2022.0,21631.0,2.0L I4 16V GDI DOHC,2.0,Automatic CVT,1.0,Gasoline,Front-wheel Drive,30.0,37.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,Black,Blue,26987.0,3,0,1.0,1.0
Jeep,Grand Cherokee Laredo,2015.0,95994.0,3.6L V6 24V MPFI DOHC Flexible Fuel,3.6,8-Speed Automatic,1.0,E85 Flex Fuel,Four-wheel Drive,18.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Black,Billet Silver Metallic Clearcoat,18499.0,1,1,3.0,1.0
Cadillac,CTS Premium,2011.0,132791.0,3.6L V6 24V GDI DOHC,3.6,6-Speed Automatic,1.0,Gasoline,Four-wheel Drive,14.0,21.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Black,Silver,12990.0,1,1,1.0,0.0
Alfa,Romeo Giulia Ti,2019.0,35867.0,2.0L I4 16V GDI SOHC Turbo,2.0,8-Speed Automatic,1.0,Gasoline,Rear-wheel Drive,24.0,33.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,Black,Rosso,29500.0,3,0,1.0,1.0
FIAT,500L Trekking,2014.0,80456.0,1.4L I4 16V MPFI SOHC Turbo,1.4,6-Speed Manual,0.0,Gasoline,Front-wheel Drive,25.0,33.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Brown,Giallo (Yellow),11977.0,3,0,1.0,1.0
Jaguar,F-PACE 25t Premium,2018.0,30886.0,2.0L I4 16V GDI DOHC Turbo,2.0,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,17.0,24.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,Ebony,Indus Silver,28950.0,1,0,1.0,1.0
Toyota,Prius v Five,2016.0,75933.0,1.8L I4 16V MPFI DOHC Hybrid,1.8,Automatic CVT,1.0,Hybrid,Front-wheel Drive,40.0,44.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,Black,Blizzard Pearl,19500.0,3,0,2.0,1.0
Mitsubishi,Eclipse Cross SE,2020.0,25850.0,1.5L I4 16V GDI DOHC Turbo,1.5,Automatic CVT,1.0,Gasoline,Front-wheel Drive,23.0,29.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Black,Gray,22000.0,3,0,1.0,1.0
Cadillac,XT6 Sport AWD,2020.0,44133.0,3.6L V6 24V GDI DOHC,3.6,9-Speed Automatic,1.0,Gasoline,Four-wheel Drive,18.0,25.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Cirrus,Crystal White Tri-Coat,44784.0,1,1,1.0,1.0
Nissan,Armada SV,2019.0,21748.0,5.6L V8 32V GDI DOHC,5.6,7-Speed Automatic,1.0,Gasoline,Four-wheel Drive,19.0,26.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Black,Black,35998.0,1,1,1.0,1.0
Ford,Mustang GT Premium,2014.0,38738.0,5.0L V8 32V MPFI DOHC,5.0,6-Speed Manual,0.0,Gasoline,Rear-wheel Drive,15.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Brick Red / Cashmere,Sterling Gray Metallic,30102.0,3,1,1.0,1.0
